mlbam_id,player_name,team,age,games,BF,IP,IP_est,H,ER,RA,ERA,BB,SO,HR,HBP,WHIP,K9,BB9,pitches,Zone_pct,Whiff_pct,Chase_pct,CSW_pct,avg_velo,avg_spin_rpm,xwOBA_on_BIP,HH_pct_against,GB_pct_on_BIP
820862,José Fermin,SL,24,4,19,3.667,3.667,4,5,5,12.2727,4,6,1,0,2.1818,14.7273,9.8182,76,0.4079,0.3611,0.3333,0.2763,91.9855,2318.8816,,0.4444,0.5556
680951,Doug Nikhazy,COL,26,4,22,3.667,3.667,8,6,6,14.7273,4,3,0,0,3.2727,7.3636,9.8182,73,0.411,0.2581,0.186,0.2329,86.0616,2237.8219,,0.6667,0.4
823990,Zane Taylor,LV,23,3,18,3.667,3.667,6,6,6,14.7273,1,3,3,0,1.9091,7.3636,2.4545,78,0.4487,0.2162,0.2558,0.2179,88.1731,1709.2338,,0.6429,0.4286
676393,Jack Leftwich,CLE,27,4,10,3.667,3.333,0,0,0,0,0,5,0,0,0,12.2727,0,53,0.5472,0.32,0.25,0.3774,88.5887,1994.283,,0.4,0.6
687288,Devereaux Harrison,NH,25,3,15,3.667,3.333,4,2,2,4.9091,0,4,1,2,1.0909,9.8182,0,48,0.4375,0.3846,0.4074,0.3333,87.6553,2229.9362,,0.6667,0.3333
668831,Garrett Stallings,NAS,28,4,21,3.667,3,10,5,5,12.2727,2,2,1,0,3.2727,4.9091,4.9091,73,0.4384,0.2727,0.2683,0.274,86.4068,1981.1233,,0.4706,0.1765
696146,Hagen Smith,CWS,22,2,17,3.667,2.667,5,2,3,4.9091,1,8,0,0,1.6364,19.6364,2.4545,49,0.4898,0.5882,0.24,0.4694,92.4041,2345.6327,,0.3333,0.3333
701539,Eric Torres,NOR,26,2,15,3.667,1.667,3,2,2,4.9091,1,8,0,1,1.0909,19.6364,2.4545,43,0.4419,0.5,0.1667,0.3721,86.8395,1928.1395,,0,0.6667
669721,Davis Daniel,LOU,28,3,17,3.333,3.667,5,1,1,2.7,1,6,0,0,1.8,16.2,2.7,67,0.5522,0.4194,0.4,0.4627,88.697,1926.9851,,0.5,0.4
669298,TJ Shook,ABQ,27,7,15,3.333,3.667,2,0,2,0,0,1,0,2,0.6,2.7,0,50,0.42,0.2593,0.4138,0.24,89.07,1999.42,,0.1667,0.5
679489,Tyler LaPorte,COL,28,4,15,3.333,3.667,4,1,2,2.7,0,5,1,0,1.2,13.5,0,54,0.4815,0.2963,0.2857,0.2593,90.0796,2208.3889,,0.4,0.5
