mlbam_id,player_name,team,age,games,PA,AB,H,1B,2B,3B,HR,R,RBI,SB,BB,SO,HBP,SF,SH,GIDP,AVG,OBP,SLG,OPS,K_pct,BB_pct,wOBA,xwOBA_on_BIP,HH_pct,GB_pct_on_BIP,EV_avg_on_BIP,LA_avg_on_BIP,bat_speed_avg,swing_length_avg
669384,"Delgado, Raynel",DUR,25,17,37,33,8,6,1,1,0,3,6,1,2,8,2,0,0,0,0.2424,0.3243,0.3333,0.6577,22%,5%,,,32%,44%,87.196,17.52,,
800050,"DeLauter, Chase",CLE,24,12,37,33,13,8,4,0,1,7,6,0,4,4,0,0,0,0,0.3939,0.4595,0.6061,1.0655,11%,11%,,,59%,45%,92.4821,7.8571,,
681715,"Hernández, Heriberto",MIA,26,13,37,31,7,3,1,0,3,4,4,4,6,9,0,0,0,0,0.2258,0.3514,0.5484,0.8997,24%,16%,,,27%,50%,84.9364,12.9091,,
699393,"Ramirez, Pedro",KNX,21,15,37,30,11,7,2,0,2,4,12,4,4,1,1,2,0,1,0.3667,0.4324,0.6333,1.0658,3%,11%,,,35%,39%,89.0419,12.0323,,
669397,"Allen, Nick",HOU,27,14,36,34,8,6,1,1,0,3,4,2,2,9,0,0,0,0,0.2353,0.2778,0.3235,0.6013,25%,6%,,,20%,40%,80.0409,22.2727,,
682868,"Ramos, Bryan",BAL,24,12,36,33,9,5,3,0,1,3,3,0,3,8,0,0,0,0,0.2727,0.3333,0.4545,0.7879,22%,8%,,,52%,36%,95.864,12.12,,
691458,"Jordan, Blaze",STL,23,16,36,33,4,2,1,0,1,2,2,0,3,9,0,0,0,0,0.1212,0.1944,0.2424,0.4369,25%,8%,,,33%,50%,89.2783,11.913,,
642215,"Wilson, Weston",NOR,31,14,36,28,7,3,3,0,1,7,2,1,7,12,1,0,0,0,0.25,0.4167,0.4643,0.881,33%,19%,,,56%,31%,93.65,7.5625,,
664702,"Straw, Myles",TOR,31,14,36,34,7,7,0,0,0,2,1,0,2,8,0,0,0,1,0.2059,0.25,0.2059,0.4559,22%,6%,,,31%,46%,86.724,9.16,,
622569,"Reyes, Pablo",ELP,32,19,36,31,10,7,3,0,0,6,7,0,4,5,1,0,0,0,0.3226,0.4167,0.4194,0.836,14%,11%,,,38%,42%,90.15,11.8077,,
669134,"Campusano, Luis",SD,27,14,36,32,6,4,2,0,0,1,0,1,3,8,1,0,0,0,0.1875,0.2778,0.25,0.5278,22%,8%,,,38%,46%,90.4292,14.0417,,
514888,"Altuve, Jose",HOU,35,12,36,35,5,4,0,0,1,1,2,1,1,12,0,0,0,1,0.1429,0.1667,0.2286,0.3952,33%,3%,,,35%,39%,86.4,15.5652,,
645444,"Herrera, Jose",RR,29,17,36,33,9,8,1,0,0,2,3,0,3,11,0,0,0,1,0.2727,0.3333,0.303,0.6364,31%,8%,,,27%,41%,85.69,14.65,,
669717,"Wilson, Will",TAC,27,19,36,27,7,5,2,0,0,6,2,0,7,8,2,0,0,1,0.2593,0.4444,0.3333,0.7778,22%,19%,,,53%,47%,85.5722,15.2222,,
641820,"Mancini, Trey",LAA,33,17,36,31,4,1,3,0,0,1,0,0,4,6,1,0,0,0,0.129,0.25,0.2258,0.4758,17%,11%,,,44%,44%,88.684,12.24,,
690984,"Halpin, Petey",COL,23,15,36,30,8,4,2,0,2,10,5,3,5,9,1,0,0,0,0.2667,0.3889,0.5333,0.9222,25%,14%,,,43%,24%,90.3429,16.2381,,
663538,"Hoerner, Nico",CHC,28,12,36,31,9,4,2,1,2,7,6,0,5,6,0,0,0,1,0.2903,0.3889,0.6129,1.0018,17%,14%,,,28%,20%,89.172,21.68,,
